studentId,studentName,skillType,fromLevel,toLevel,itemId,itemName,tier,quantity,sourceUrl,needsReview
kurumi,Kurumi,ex,1,2,beginner_tactical_training_blu_ray_valkyrie,Beginner Tactical Training Blu-ray (Valkyrie),0,12,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,1,2,rohonc_codex_page,Rohonc Codex Page,0,14,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,1,2,credit,Credits,,80000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,2,3,normal_tactical_training_blu_ray_valkyrie,Normal Tactical Training Blu-ray (Valkyrie),1,12,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,2,3,beginner_tactical_training_blu_ray_valkyrie,Beginner Tactical Training Blu-ray (Valkyrie),0,18,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,2,3,damaged_rohonc_codex,Damaged Rohonc Codex,1,14,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,2,3,golden_thread,Golden Thread,,27,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,2,3,credit,Credits,,500000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,3,4,advanced_tactical_training_blu_ray_valkyrie,Advanced Tactical Training Blu-ray (Valkyrie),2,12,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,3,4,normal_tactical_training_blu_ray_valkyrie,Normal Tactical Training Blu-ray (Valkyrie),1,18,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,3,4,annotated_rohonc_codex,Annotated Rohonc Codex,2,9,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,3,4,golden_thread_spool,Golden Thread Spool,,27,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,3,4,credit,Credits,,3000000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,4,5,superior_tactical_training_blu_ray_valkyrie,Superior Tactical Training Blu-ray (Valkyrie),3,8,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,4,5,advanced_tactical_training_blu_ray_valkyrie,Advanced Tactical Training Blu-ray (Valkyrie),2,18,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,4,5,intact_rohonc_codex,Intact Rohonc Codex,3,9,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,4,5,golden_thread_yarn,Golden Thread Yarn,,19,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,ex,4,5,credit,Credits,,10000000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,1,2,beginner_tech_notes_valkyrie,Beginner Tech Notes (Valkyrie),0,5,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,1,2,credit,Credits,,5000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,2,3,beginner_tech_notes_valkyrie,Beginner Tech Notes (Valkyrie),0,8,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,2,3,credit,Credits,,7500,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,3,4,normal_tech_notes_valkyrie,Normal Tech Notes (Valkyrie),1,5,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,3,4,beginner_tech_notes_valkyrie,Beginner Tech Notes (Valkyrie),0,12,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,3,4,rohonc_codex_page,Rohonc Codex Page,0,5,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,3,4,credit,Credits,,60000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,4,5,normal_tech_notes_valkyrie,Normal Tech Notes (Valkyrie),1,8,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,4,5,damaged_rohonc_codex,Damaged Rohonc Codex,1,3,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,4,5,golden_thread,Golden Thread,,11,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,4,5,credit,Credits,,90000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,5,6,advanced_tech_notes_valkyrie,Advanced Tech Notes (Valkyrie),2,5,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,5,6,normal_tech_notes_valkyrie,Normal Tech Notes (Valkyrie),1,12,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,5,6,damaged_rohonc_codex,Damaged Rohonc Codex,1,10,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,5,6,golden_thread,Golden Thread,,19,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,5,6,credit,Credits,,300000,https://bluearchive.wiki/wiki/Kurumi,false
kurumi,Kurumi,normal,6,7,advanced_tech_notes_valkyrie,Advanced Tech Notes (Valkyrie),2,8,https://bluearchive.wiki/wiki/Kurumi,false
