studentId,studentName,skillType,tableIndex,rowIndex,colIndex,cellText,sourceUrl,needsReview
kei,Kei,ex,6,0,0,EX Skill Cost 2,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,0,1,SkillIcon_Background_Mystic.svg | 59px-COMMON_SKILLICON_BULLETTYPEBUFF.png | ここにいる私 • Here I am Place an amplifier that increases the Attack of allies within a circular area by 26.8~51% and grants them 44.1~83.8% Mystic Efficiency for 25 seconds . (Effect applies only while within range),https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,1,0,Lv.,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,1,1,Cost,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,1,2,Description,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,2,0,1,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,2,1,2,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,2,2,Place an amplifier that increases the Attack of allies within a circular area by 26.8% and grants them 44.1% Mystic Efficiency for 25 seconds . (Effect applies only while within range),https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,3,0,2,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,3,1,Beginner Tactical Training Blu-ray (Millennium) | Phaistos Disc Piece | Credits | Place an amplifier that increases the Attack of allies within a circular area by 30.8% and grants them 50.7% Mystic Efficiency for 25 seconds . (Effect applies only while within range) 12 18 80k,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,4,0,3,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,4,1,Normal Tactical Training Blu-ray (Millennium) | Beginner Tactical Training Blu-ray (Millennium) | Broken Phaistos Disc | Istanbul Rocket Piece | Credits | Place an amplifier that increases the Attack of allies within a circular area by 38.9% and grants them 64% Mystic Efficiency for 25 seconds . (Effect applies only while within range) 12 18 15 32 500k,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,5,0,4,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,5,1,Advanced Tactical Training Blu-ray (Millennium) | Normal Tactical Training Blu-ray (Millennium) | Damaged Phaistos Disc | Broken Istanbul Rocket | Credits | Place an amplifier that increases the Attack of allies within a circular area by 42.9% and grants them 70.6% Mystic Efficiency for 25 seconds . (Effect applies only while within range) 12 18 11 26 3M,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,6,0,5,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,ex,6,6,1,Superior Tactical Training Blu-ray (Millennium) | Advanced Tactical Training Blu-ray (Millennium) | Intact Phaistos Disc | Repaired Istanbul Rocket | Credits | Place an amplifier that increases the Attack of allies within a circular area by 51% and grants them 83.8% Mystic Efficiency for 25 seconds . (Effect applies only while within range) 8 18 7 23 10M,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,normal,7,0,0,Normal Skill,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,normal,7,0,1,"SkillIcon_Background_Mystic.svg | 59px-SKILLICON_CH0335_PUBLICSKILL.png | 怒らせましたね！？ • So, you've made me angry?! When the amplifier effect ends, deal 148~281% damage to one enemy, plus 40~100% of the amplifier's accumulated damage. (This damage can not be critical and is not affected by Kei's stats)",https://bluearchive.wiki/wiki/Kei,true
kei,Kei,normal,7,1,0,Lv.,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,normal,7,1,1,Description,https://bluearchive.wiki/wiki/Kei,true
kei,Kei,normal,7,2,0,1,https://bluearchive.wiki/wiki/Kei,true
